16
880 858
819 574 -416
235 279 155
62 689 -573
441 807 210
834 75 -276
859 647 434
386 56 856
853 76 145
806 411 -125
359 79 -599
720 25 855
782 406 -195
788 58 -383
352 544 -364
764 343 -662
573 408 -693
731 749 673
503 669 758
650 848 661
369 284 97
58 233 624
478 523 -467
196 382 421
314 279 -301
197 634 349
334 628 544
307 316 -594
531 245 -6
461 810 499
533 103 -61
168 71 860
225 811 -930
173 11 203
494 240 -91
379 899 386
722 94 -877
429 616 -738
542 815 938
226 470 274
436 600 265
666 625 996
162 852 486
329 809 -557
461 266 626
535 317 -241
660 534 -554
626 537 472
392 895 916
762 65 119
826 106 -285
251 583 -590
743 211 -895
474 425 -259
88 733 -298
213 568 422
632 742 248
613 296 -164
877 875 -29
900 664 716
618 636 819
515 23 954
179 750 -776
606 574 -250
754 365 406
104 119 975
410 91 -494
494 635 848
139 473 899
565 418 299
26 339 511
175 492 125
322 512 -959
563 762 -725
756 23 420
266 504 64
34 829 -473
191 309 223
65 517 -253
350 383 358
159 314 795
338 801 -687
644 742 823
243 601 -342
390 162 -381
291 105 -851
655 838 -718
810 600 570
74 440 883
87 577 -377
712 663 40
729 650 -32
748 891 -862
265 418 235
510 878 347
802 909 -537
869 99 219
409 440 707
89 268 164
632 588 -150
553 803 626
116 23 -839
583 804 -230
615 905 586
497 791 652
41 144 700
865 700 58
884 26 807
675 158 -57
230 185 -54
488 253 83
58 761 -589
808 248 725
825 232 906
315 98 573
314 142 -727
740 146 614
134 289 -474
740 846 720
484 775 -660
134 118 648
434 716 -649
435 438 -917
694 735 -289
424 416 -152
239 644 88
762 26 51
75 512 83
193 554 258
899 885 -58
171 587 872
869 848 460
872 112 681
742 3 416
352 576 -923
47 651 -364
261 359 584
490 672 -789
687 863 -104
338 431 838
872 32 -492
698 885 -608
251 739 -98
372 666 -685
450 456 -246
687 636 646
291 122 -635
374 838 -32
146 82 585
561 113 -1
497 895 358
203 667 -363
71 886 -653
57 611 647
907 41 -906
647 659 -259
656 819 -498
417 333 818
369 290 -5
540 62 576
650 82 565
479 868 168
101 828 -604
733 440 -237
310 333 538
422 11 113
655 903 -370
882 478 738
902 458 -284
766 797 -84
656 163 643
471 901 55
907 429 -108
465 223 -210
893 804 760
813 692 842
714 310 -760
402 216 -224
658 696 694
689 799 981
482 713 -834
22 633 157
650 118 -433
315 215 656
71 87 -501
126 463 -660
759 264 -518
19 494 -862
699 571 -405
614 112 -427
545 355 999
838 124 -597
15 235 -223
552 630 531
418 449 -312
687 699 274
816 197 -36
854 425 -122
339 12 -78
172 295 303
820 895 -686
411 803 406
220 749 566
625 596 934
761 710 -410
554 799 -865
584 815 -613
590 60 -914
131 639 231
519 531 -414
301 107 942
548 314 -460
698 211 996
529 457 -330
325 520 454
232 609 732
699 683 -709
792 213 -59
900 232 -851
159 329 681
243 730 969
723 610 644
815 50 430
697 553 234
666 255 248
190 149 813
611 47 767
630 473 936
646 912 -290
566 804 -557
553 462 360
862 629 983
881 467 -138
582 520 -679
906 842 -717
505 649 -371
178 223 942
461 786 559
464 650 807
234 768 -952
141 482 -834
676 650 680
456 595 -876
709 494 42
578 369 848
49 285 719
602 579 299
493 612 476
343 129 43
122 17 -853
521 740 -684
237 509 824
314 97 -182
793 9 -584
760 47 -76
853 250 -140
800 346 234
91 750 70
672 136 256
160 334 -885
216 875 -785
696 118 -461
727 308 421
553 614 896
35 30 951
10 293 386
361 434 -180
828 767 819
643 395 103
700 564 26
109 887 547
711 295 204
192 826 -701
747 716 859
822 483 -216
366 826 722
401 775 -89
572 73 46
832 537 680
375 589 441
51 693 145
666 674 -70
763 511 96
262 862 310
903 913 -963
811 242 366
234 500 -454
467 188 558
691 696 -102
136 700 -501
220 485 -257
602 748 391
282 699 -263
179 359 246
345 499 -594
700 685 984
270 216 438
712 409 -683
596 803 306
159 899 -809
89 195 216
53 811 104
430 674 -251
452 617 -972
490 554 547
352 613 -536
749 775 823
533 664 -995
248 30 -712
806 842 -941
732 620 -834
274 646 -433
833 579 577
623 885 -270
743 424 31
246 1 -757
823 496 -549
155 275 679
228 80 -497
178 524 -704
604 860 -994
733 654 -353
475 859 -907
585 53 736
823 761 -291
248 229 -393
416 211 519
792 34 -660
562 585 -492
616 311 -513
272 254 -389
314 461 159
406 742 -313
368 821 115
790 734 -256
293 65 -69
23 808 161
821 429 192
535 720 -394
68 51 -311
278 800 -524
563 686 -468
633 887 276
15 476 -37
842 10 929
19 158 -817
848 444 -740
765 424 -752
539 312 -588
541 758 858
181 829 -455
421 328 -16
416 129 305
562 114 714
587 903 5
766 51 -185
683 651 -9
497 155 514
699 877 385
798 806 266
270 90 48
408 863 160
733 154 -939
744 811 -661
802 5 546
306 265 347
763 425 443
654 807 685
266 232 -302
866 799 -285
409 248 208
283 102 -42
190 35 767
764 3 -981
64 308 975
310 584 -861
760 72 263
34 796 -750
612 832 -990
515 895 -795
426 887 -659
368 81 173
3 487 380
334 301 -942
441 879 -296
326 347 -522
456 242 -25
845 244 -109
83 699 839
12 591 391
890 713 898
880 607 -59
483 179 -965
862 260 -131
235 7 998
560 117 -31
544 477 353
575 313 -414
364 77 671
860 219 -653
278 215 -736
862 269 -44
609 100 -714
155 81 628
479 80 -319
114 375 515
392 624 -616
44 657 316
205 49 -118
912 674 -761
532 503 -185
193 890 -63
499 527 645
571 347 -7
896 834 -997
819 736 576
645 498 -461
590 192 239
315 268 796
163 316 -152
238 903 -524
165 597 -459
584 501 -823
400 116 937
54 51 33
475 625 208
662 804 472
722 444 685
452 872 312
730 80 381
460 227 -411
627 711 328
34 155 -346
765 604 -910
510 428 -301
596 800 710
602 363 -410
365 309 200
657 825 -253
536 361 618
553 257 -120
802 374 873
436 227 -214
669 889 -28
9 908 -479
738 125 -339
249 880 -466
853 516 -816
253 613 -797
5 338 257
199 122 346
798 317 541
608 298 -53
851 633 -447
14 779 -860
582 284 -708
28 118 -759
821 293 -250
331 310 -45
327 528 -391
806 621 -308
883 274 -550
674 489 -7
140 766 500
241 159 145
857 711 240
747 714 -548
311 706 -88
709 535 159
243 652 -249
888 493 525
545 538 926
599 304 586
679 213 -950
206 358 -136
700 54 -624
687 256 -973
647 289 213
455 407 949
83 573 -943
336 820 477
679 22 670
671 595 -818
157 259 -98
733 672 77
4 75 -572
416 143 46
107 516 -25
523 829 341
252 112 -554
602 690 695
253 459 822
322 172 712
472 479 525
495 90 -524
713 816 356
532 387 -567
73 379 -326
362 619 325
646 604 -555
303 661 -2
888 291 -183
604 294 735
565 904 -250
583 250 -715
727 315 -895
465 531 -436
563 812 -58
487 465 347
288 523 248
904 629 277
297 419 455
866 222 -556
142 490 746
435 128 -732
847 273 499
204 728 45
699 36 809
165 14 -597
675 683 499
800 616 350
547 477 -717
74 808 786
859 30 240
745 739 -101
43 249 -433
422 434 -21
402 473 -585
755 641 39
707 717 -310
534 733 670
186 775 549
155 650 555
572 372 544
851 858 831
474 69 -353
395 616 -506
187 482 31
475 645 841
905 314 -495
454 46 -957
141 696 -703
348 605 115
831 605 207
372 338 -317
263 506 308
644 675 310
456 76 940
380 428 122
887 632 488
576 405 -945
193 174 386
339 158 -175
871 42 560
51 758 350
821 693 40
789 72 -518
875 604 71
486 767 -558
29 497 238
340 896 -848
410 450 599
865 28 -803
719 545 -31
117 235 -31
550 263 -69
310 247 329
78 792 -349
45 848 -570
625 302 -469
792 746 466
122 753 281
844 84 -414
608 127 -996
739 632 299
728 742 637
455 867 896
390 94 183
335 1 552
196 201 997
39 811 -681
689 364 -568
17 279 -2
761 868 394
737 422 125
218 77 -657
218 191 559
618 438 -207
597 834 120
423 153 688
232 871 622
176 648 995
61 365 -996
171 290 -367
443 483 -848
698 8 -310
595 291 31
673 31 -208
262 42 286
721 813 221
575 904 827
199 835 592
218 193 546
457 298 778
357 784 431
678 774 308
689 838 -688
553 28 -324
324 596 -8
573 435 -390
831 365 -753
858 249 984
433 18 520
264 489 659
614 207 525
440 408 457
542 880 596
652 898 -132
831 746 -419
456 852 114
174 642 -782
384 749 342
393 135 378
758 868 -595
815 772 -417
506 771 -351
814 101 492
384 19 194
646 395 -490
911 322 -417
323 403 -719
833 7 -546
204 278 -91
32 331 -381
377 545 -646
775 530 120
226 864 182
560 834 203
231 275 -636
887 872 868
663 814 629
301 352 475
841 209 139
108 368 853
853 540 -36
235 845 807
22 568 -362
804 627 728
274 127 547
523 352 -158
417 760 -870
86 319 -452
225 880 945
649 220 504
570 212 -434
363 644 459
496 510 -608
648 324 -711
745 342 357
526 322 976
678 456 449
273 551 -292
144 507 -489
256 551 -830
107 834 832
770 283 -891
365 31 -169
357 158 -961
542 525 77
334 454 -771
868 252 359
323 575 -262
763 381 224
193 659 765
509 506 364
893 143 92
472 676 -285
323 207 502
677 776 -505
335 446 970
395 828 -230
603 683 -939
703 650 10
786 551 169
433 172 318
779 654 -599
606 40 -620
167 565 -683
401 550 28
317 356 -971
698 405 695
237 665 -295
71 872 711
618 126 45
269 315 642
427 134 35
105 629 -338
72 248 197
462 541 -761
703 155 618
788 457 -393
486 347 -116
203 92 -198
347 888 -981
599 810 -350
618 516 810
835 765 601
460 140 353
358 20 542
8 41 -935
393 300 998
816 597 899
513 375 765
382 314 -774
650 795 824
298 278 -182
130 48 286
357 392 -636
717 582 208
688 513 -281
148 136 733
49 585 697
393 30 727
67 7 -811
908 1 626
384 330 228
518 615 64
253 490 430
847 132 289
824 700 -419
71 619 709
279 835 889
799 36 -101
884 809 60
512 170 116
624 874 496
425 205 -971
150 607 971
64 661 -960
723 773 -623
816 452 -750
445 732 50
496 818 5
750 625 590
287 677 668
513 189 -333
202 240 -670
10 594 798
133 544 -963
124 161 -651
635 681 -630
502 898 418
108 291 -42
422 334 -552
725 371 869
347 820 -143
19 95 280
372 138 388
383 728 -308
538 623 -147
110 622 -502
330 128 696
94 579 -972
649 609 530
759 126 488
877 798 -162
795 581 157
438 644 118
953 811
734 573 -567
53 694 697
594 922 -627
905 953 437
639 156 -799
94 723 -200
310 947 763
405 669 -380
652 349 884
721 769 -316
687 322 -481
646 494 308
542 780 -884
877 427 423
177 496 -606
50 113 101
88 206 -353
293 496 623
430 94 -271
578 912 28
787 677 -69
702 212 726
243 369 -389
501 596 561
465 308 52
332 274 -170
629 917 -248
694 729 -562
661 141 468
23 850 -11
892 805 -746
491 261 111
735 97 354
652 166 -346
429 498 -315
320 337 504
883 216 207
248 617 70
241 477 118
844 131 596
215 721 998
645 792 762
665 350 630
458 862 471
531 694 113
92 97 402
874 855 622
495 712 -96
794 197 336
389 316 -854
496 819 407
469 371 632
130 616 380
530 668 582
892 814 959
865 53 -372
359 351 420
643 510 248
392 105 -811
464 651 -270
238 9 932
277 656 -630
545 792 385
22 547 -30
254 177 474
938 723 -967
654 873 222
771 741 131
195 552 -65
265 707 369
222 871 650
75 803 945
419 902 -128
499 670 -180
399 414 -961
917 91 776
181 24 -556
621 434 596
69 689 9
171 632 -314
133 542 -619
712 55 530
484 588 469
851 901 -838
829 90 737
375 108 -916
214 841 161
614 931 803
47 490 380
863 98 726
731 732 555
251 848 758
396 255 -505
284 576 897
650 553 910
944 690 494
137 146 341
399 197 819
695 337 728
523 655 271
132 65 -478
205 687 375
832 226 466
270 861 716
716 238 -776
904 813 690
13 635 495
832 294 -162
700 697 -299
124 184 -932
271 330 -472
870 686 -584
662 559 765
531 37 -45
218 577 -841
370 935 752
795 592 163
1 196 -192
253 731 517
888 384 670
240 499 959
224 847 191
882 259 -3
174 165 -178
81 340 -685
534 866 323
791 795 -990
141 401 -984
806 946 -828
762 117 -140
297 185 121
822 180 -391
675 380 659
768 202 -91
245 397 -229
603 552 137
850 241 505
318 614 957
815 585 -562
629 838 -516
611 918 -52
406 222 981
341 937 -359
532 388 541
698 385 703
150 821 -213
815 337 688
833 182 102
878 541 -184
204 180 -765
729 847 510
392 186 -935
99 129 184
246 650 -911
3 27 942
182 247 -643
206 151 256
454 513 227
750 661 245
432 790 -644
800 444 705
611 62 -686
751 91 -572
442 42 -275
18 858 516
719 250 562
147 395 976
569 256 166
744 819 409
794 424 -208
165 231 -949
409 616 177
235 701 -367
27 680 224
211 765 -235
432 502 -120
587 88 -250
613 664 947
673 715 957
686 284 -138
446 118 68
699 26 446
435 541 979
867 238 328
255 835 17
360 398 591
524 816 -847
422 140 -368
513 329 786
883 136 162
508 948 964
485 608 80
170 75 247
835 944 249
121 105 377
461 148 -673
342 455 960
476 325 299
520 475 368
697 8 -965
302 189 -618
688 857 -865
920 828 -650
745 596 413
316 400 475
644 912 495
151 509 -216
632 601 754
782 353 -606
684 707 -793
335 790 -436
723 592 -68
573 712 -178
58 189 -315
225 397 -642
479 15 -944
465 783 -468
548 644 -630
685 73 -44
280 69 471
655 299 203
542 370 -766
753 34 627
751 434 -716
378 151 -100
875 222 293
870 757 -940
634 411 706
474 221 613
835 620 -201
257 24 618
774 540 -831
382 341 253
896 361 434
516 43 503
539 863 822
902 745 87
328 232 747
225 211 74
580 729 537
795 901 -539
39 300 -419
738 267 -32
727 490 358
500 364 699
651 688 -983
547 51 761
630 390 365
50 10 -537
422 483 -184
799 516 919
508 418 856
468 722 -9
849 821 434
920 700 -394
316 565 -111
213 99 -364
827 172 -351
416 796 658
600 304 -535
708 665 -104
14 425 154
511 208 245
387 550 997
236 467 906
501 705 350
513 618 -46
717 693 -875
752 240 916
223 78 -901
496 394 -738
680 510 221
939 196 375
55 375 -411
516 735 707
555 468 503
466 120 801
936 396 -855
284 735 -323
488 423 170
323 474 25
631 319 -393
623 914 -137
270 485 -162
455 294 743
448 772 -964
944 84 405
243 338 734
129 108 654
268 72 872
303 789 637
681 468 197
813 769 -598
229 530 -452
765 700 29
810 746 -593
271 220 385
627 62 793
268 670 749
869 339 96
208 842 938
209 662 396
719 691 507
855 518 -586
465 917 804
531 545 -171
86 950 -893
181 275 533
913 179 12
240 657 254
669 193 873
535 287 675
67 107 78
335 137 -457
198 805 -947
751 72 902
548 594 595
931 559 -837
435 490 -866
936 906 -744
415 630 157
428 777 889
677 491 -530
474 677 -848
158 548 661
762 806 -464
732 686 -793
669 362 48
266 305 -293
730 214 -403
353 507 -376
155 226 -716
215 445 355
188 201 -482
818 258 100
728 467 442
673 712 413
178 423 726
262 713 663
153 285 818
581 709 -884
278 415 537
771 238 -36
476 322 135
