17
858 1996
762 535 640
21 337 331
799 220 523
396 528 276
760 233 315
276 173 593
612 285 179
455 479 417
372 437 607
386 612 980
509 722 552
690 535 847
679 607 788
824 289 654
647 341 248
314 164 233
557 423 108
127 248 702
169 233 348
702 90 564
9 616 906
653 672 381
242 308 376
789 838 178
185 492 210
835 78 148
17 523 622
268 25 587
357 344 237
739 329 778
808 446 820
196 20 824
604 502 858
396 109 821
682 517 96
711 259 532
326 508 981
226 685 408
563 21 610
79 141 495
233 200 631
650 308 414
181 211 989
278 478 118
345 749 17
494 444 413
376 69 186
21 592 268
21 422 873
309 520 8
462 581 662
627 569 883
7 21 201
795 786 147
571 442 874
398 238 996
129 370 429
608 475 67
489 713 637
749 212 463
364 850 972
853 210 571
97 364 370
767 127 471
520 454 4
685 250 319
575 854 647
703 191 320
843 268 958
156 727 219
574 590 308
398 536 863
725 528 436
572 268 472
438 443 686
855 47 756
380 756 436
97 299 869
575 677 816
356 545 387
560 814 443
837 783 690
843 414 213
395 267 907
77 265 921
482 12 263
173 841 488
319 491 191
821 204 802
43 236 418
4 465 831
96 638 919
386 756 441
474 396 999
199 525 416
246 798 739
215 109 746
354 325 560
318 541 707
593 175 264
85 21 963
394 800 373
133 461 37
335 149 558
626 832 357
716 280 798
807 138 930
13 634 975
844 457 845
753 231 860
804 50 763
690 203 161
49 660 84
739 767 581
448 682 645
48 295 912
154 106 362
513 445 781
243 476 689
389 833 279
366 851 654
106 38 71
496 361 445
832 537 2
691 77 546
540 495 725
426 520 410
153 682 502
105 127 158
326 4 351
748 86 702
572 202 704
537 670 992
696 341 917
256 609 778
267 327 388
169 529 672
58 28 515
381 42 828
564 209 880
323 759 844
723 328 424
363 221 84
90 377 603
272 517 975
87 119 813
549 638 312
162 291 985
505 646 746
763 687 416
710 251 887
730 425 147
787 772 904
93 811 437
160 478 689
543 705 772
315 30 531
383 814 336
794 614 866
414 158 615
158 340 744
215 848 711
318 489 952
110 163 142
580 589 555
440 520 422
30 758 90
155 192 600
767 769 560
64 313 390
644 851 989
364 572 281
410 538 806
787 824 325
805 798 362
688 28 954
335 646 306
365 815 565
117 523 229
295 215 507
438 121 129
838 765 908
589 272 719
318 465 613
530 73 378
386 472 195
720 787 999
294 720 283
667 421 203
508 293 340
504 309 29
787 507 568
56 576 290
267 40 132
423 76 498
430 389 471
329 80 921
209 304 996
773 520 582
775 425 149
668 73 48
624 105 635
686 346 334
362 807 32
675 689 42
279 779 38
315 415 811
616 425 782
263 328 48
416 688 300
236 22 552
305 368 618
750 764 959
756 21 160
234 612 783
777 655 791
270 625 515
639 377 835
763 778 125
642 526 649
141 180 797
214 16 796
542 535 121
448 733 782
570 263 232
145 202 130
47 45 706
419 634 498
732 398 162
34 442 132
109 131 823
475 206 814
539 99 918
125 683 216
109 46 708
546 742 766
292 462 771
368 583 390
271 37 267
274 267 193
234 671 569
521 812 694
169 271 864
406 179 80
841 309 279
259 600 415
625 427 42
221 726 558
505 509 779
464 800 17
110 857 452
553 278 49
3 433 659
442 452 357
630 452 612
33 810 577
432 845 716
288 285 205
348 78 447
197 671 457
314 684 447
806 601 870
362 678 449
265 253 124
215 538 255
250 436 304
312 461 942
760 695 958
724 452 160
716 529 680
199 299 154
723 848 525
287 283 409
257 542 77
415 780 294
549 367 598
616 577 577
242 655 952
619 495 739
258 614 304
726 92 379
100 207 809
200 483 660
477 304 206
233 565 624
285 273 499
258 473 821
456 772 741
325 48 75
510 715 561
590 712 332
794 571 630
462 777 523
740 706 122
337 343 397
269 19 95
60 435 220
781 605 980
84 663 830
694 845 528
498 808 48
674 560 627
335 231 537
363 397 59
378 257 934
653 324 834
309 728 650
340 152 107
380 330 34
475 408 462
275 690 799
396 711 858
458 302 639
482 303 783
736 827 697
334 236 884
74 391 605
441 83 427
845 72 996
448 6 707
302 341 508
685 153 925
709 512 523
255 198 240
259 400 762
617 684 790
521 460 296
134 714 541
848 667 546
692 455 369
629 749 291
230 115 775
421 243 606
123 507 979
784 457 279
741 171 910
107 838 562
354 14 101
396 480 736
232 482 970
775 483 421
257 408 388
406 176 442
682 423 961
134 452 875
844 773 367
66 842 173
28 486 908
245 779 215
450 12 359
756 50 872
291 518 404
559 807 602
413 718 685
60 192 641
701 448 150
806 508 568
546 69 446
299 439 582
573 294 534
61 693 885
793 732 669
323 354 256
706 665 399
332 690 202
728 324 455
490 127 779
844 22 722
189 166 301
605 290 970
671 49 249
652 708 731
57 600 951
140 574 37
712 324 634
579 1 560
743 553 448
731 832 718
807 612 749
105 94 644
825 843 176
703 822 558
85 114 981
188 610 194
425 411 357
537 724 431
665 653 801
432 319 183
506 496 995
80 167 606
454 66 577
349 34 604
3 835 901
17 576 387
160 288 55
785 594 61
7 835 414
795 770 464
653 326 753
549 524 745
138 775 177
536 189 602
76 274 857
777 301 255
35 47 77
357 635 949
249 156 434
555 457 364
47 151 903
561 653 152
287 769 659
530 477 424
521 455 469
264 664 492
592 389 830
596 716 278
828 623 38
378 183 958
614 409 391
522 722 543
836 321 734
777 417 933
110 549 91
772 248 149
467 40 983
64 799 322
676 145 691
499 827 101
197 551 863
489 457 574
198 653 739
359 46 67
592 188 373
153 260 360
815 529 619
428 343 791
684 136 585
694 499 977
335 96 42
837 524 891
15 813 287
233 789 327
751 17 522
785 783 973
396 586 288
797 463 239
322 199 125
340 103 720
602 193 335
477 317 439
669 601 689
837 366 75
496 75 664
489 174 123
811 790 618
25 58 497
59 127 386
504 686 259
509 54 381
211 370 874
563 341 487
313 196 557
197 322 563
422 117 976
541 615 657
59 556 284
792 543 654
554 660 556
22 303 744
709 466 471
316 154 852
557 96 611
765 71 908
159 532 405
356 212 444
825 737 475
835 179 947
239 253 544
57 802 508
335 850 482
105 648 303
822 581 405
798 308 780
663 516 104
404 391 85
499 338 270
380 679 407
776 634 765
410 292 468
21 263 325
448 444 773
444 719 38
801 91 536
504 327 405
504 282 577
70 764 322
318 799 822
215 196 883
786 142 728
439 530 112
150 262 430
611 373 616
405 659 592
143 319 399
850 343 645
651 762 560
47 87 824
49 238 553
565 817 57
854 12 870
133 671 566
160 112 556
492 550 892
182 609 118
296 622 357
729 210 397
810 375 244
541 517 354
286 399 194
394 363 813
857 646 958
840 469 853
471 738 899
572 745 557
91 223 489
168 618 991
698 627 224
286 846 738
339 754 109
698 477 222
791 665 289
26 71 347
272 515 9
652 813 90
355 20 37
413 399 39
212 466 886
851 369 379
683 628 540
258 95 839
286 295 327
671 464 834
750 797 131
599 846 604
609 167 241
635 5 643
559 755 302
22 394 502
434 537 230
327 692 994
136 667 460
723 100 372
680 216 959
744 432 197
544 663 463
677 548 698
769 682 63
427 155 940
35 570 362
120 391 49
741 354 104
566 46 979
243 819 741
146 712 779
440 403 263
292 101 550
609 277 271
660 694 221
304 631 157
527 226 700
745 190 505
492 401 384
331 789 212
830 23 498
289 267 946
65 56 64
60 252 271
508 94 287
417 709 689
73 351 333
783 727 76
207 826 458
245 301 738
175 589 663
446 222 748
124 43 883
407 853 443
536 494 814
411 141 242
38 469 854
684 856 92
823 598 648
453 614 597
835 252 469
510 46 203
567 845 760
6 237 762
193 518 292
261 227 360
231 297 467
389 839 211
517 783 964
474 443 492
182 585 380
592 594 115
681 7 610
278 467 341
414 29 341
602 135 695
713 322 890
462 194 551
368 783 665
39 307 715
245 292 694
46 736 124
2 271 825
529 126 259
663 811 432
41 442 484
142 222 64
658 143 993
265 752 213
377 697 183
12 775 959
351 80 56
246 621 71
181 801 258
761 351 357
590 612 432
836 513 206
317 401 460
474 130 653
87 277 623
160 611 759
628 530 645
426 638 146
218 408 716
766 35 390
290 93 344
829 600 151
152 164 667
168 275 77
360 141 616
833 682 112
536 501 394
9 612 140
261 737 288
437 134 778
490 41 767
144 172 398
576 377 975
842 494 710
378 790 286
427 775 391
278 53 730
104 316 482
404 423 674
382 465 492
21 804 881
676 300 367
698 18 988
771 557 353
57 788 902
201 381 253
519 833 33
615 821 216
309 438 413
356 255 893
709 108 315
70 493 718
532 246 854
83 268 242
180 51 2
480 207 142
81 770 878
677 159 679
291 561 328
791 482 407
724 778 172
216 856 266
248 116 262
30 400 891
732 526 286
744 301 999
431 166 496
138 187 443
249 577 274
379 792 31
443 660 154
213 431 748
187 789 151
659 251 506
343 114 661
723 479 848
505 794 324
702 329 539
287 729 470
432 151 387
3 365 52
341 508 775
452 300 732
234 31 689
376 848 488
69 537 568
280 535 438
384 781 55
835 846 199
853 277 61
470 582 552
414 272 104
299 821 165
187 250 628
41 510 945
759 209 962
455 10 38
51 305 259
108 307 433
21 577 620
639 821 35
736 347 734
519 260 67
153 7 355
354 415 519
738 597 112
36 721 933
787 571 65
24 797 87
278 439 262
816 217 812
733 657 254
249 790 476
248 451 528
380 212 466
480 449 379
552 576 937
856 837 230
157 87 667
10 28 531
556 159 573
565 84 447
115 198 148
614 111 698
68 761 383
797 83 183
6 71 999
701 792 223
721 114 767
241 389 374
535 644 693
809 328 513
402 659 331
458 543 406
756 128 946
608 444 727
334 836 853
172 109 814
818 814 236
248 642 215
808 545 706
285 759 574
609 299 767
784 764 653
749 213 794
264 428 538
788 204 840
604 140 857
104 165 22
49 129 393
579 328 898
503 468 181
589 586 166
441 621 474
804 797 955
743 603 583
358 153 667
652 392 717
72 675 903
624 509 391
806 305 889
524 852 365
686 628 660
17 20 670
43 117 986
500 594 125
594 207 367
760 163 244
811 647 124
584 458 708
49 602 931
329 694 510
645 535 622
186 236 676
540 565 13
253 88 684
74 235 468
121 575 397
59 852 238
279 204 480
513 80 987
94 50 491
782 443 193
758 734 660
250 644 213
196 390 320
471 467 848
552 312 814
106 623 408
283 445 388
102 192 30
495 735 757
712 315 774
438 742 356
31 526 700
22 629 515
81 842 247
749 711 873
4 298 645
759 306 598
191 298 300
114 799 841
128 276 209
195 431 594
619 529 766
117 343 232
259 544 732
120 454 543
351 316 979
607 657 355
272 404 567
687 480 811
705 660 86
34 215 721
180 486 299
287 259 532
616 783 518
845 318 51
677 630 582
487 281 836
673 115 514
855 252 380
691 38 567
346 718 453
545 680 258
276 387 442
402 175 840
236 133 590
218 602 924
349 104 342
506 568 744
795 312 577
448 195 981
34 269 239
611 746 30
526 772 599
564 638 42
94 388 435
390 302 935
97 587 916
233 707 438
483 689 133
555 544 937
446 264 657
494 781 626
302 749 801
698 331 246
648 556 843
571 814 161
43 531 44
300 359 539
697 145 734
823 384 764
750 640 181
11 609 814
786 447 542
611 188 726
257 97 612
250 673 140
765 258 323
92 241 546
270 220 583
596 255 908
80 410 364
747 151 370
655 211 635
375 754 130
736 119 575
702 393 71
119 771 736
180 161 942
842 397 217
805 761 828
711 532 887
401 682 326
667 293 179
13 218 319
77 210 27
629 508 166
696 716 621
182 707 860
109 455 846
575 2 390
245 702 521
460 671 89
655 35 131
362 805 262
700 833 565
280 272 523
108 255 84
800 1611
595 113 700
98 187 722
390 705 913
295 382 449
686 444 140
530 427 752
98 157 403
162 679 656
666 231 450
50 516 841
216 494 28
453 761 40
151 53 228
60 555 466
178 167 161
591 684 594
14 312 482
428 47 411
106 723 330
232 200 267
540 753 193
56 598 18
572 305 675
336 341 168
661 137 332
249 176 308
556 583 206
491 292 446
323 246 712
735 318 13
653 790 125
758 657 194
327 205 553
120 365 971
500 222 7
434 460 946
650 199 491
455 29 598
352 190 447
595 629 568
584 258 591
538 590 562
280 29 259
392 384 779
690 693 113
744 110 943
333 723 426
670 608 819
710 59 679
335 755 15
628 733 272
257 740 899
744 320 458
27 349 651
413 314 617
759 341 380
69 66 992
450 335 729
623 212 654
160 141 200
155 38 111
751 343 667
256 257 695
614 212 208
496 304 478
536 188 78
313 351 287
460 619 36
457 760 362
713 596 611
202 34 79
89 701 508
701 494 701
715 592 732
767 264 215
66 49 281
385 376 498
417 219 896
419 248 429
115 575 727
161 355 769
181 114 566
108 378 546
244 588 334
294 281 253
657 553 791
375 791 644
371 235 610
638 420 985
498 251 277
372 404 203
568 584 412
90 226 671
125 579 749
428 230 653
565 577 277
82 543 599
328 397 191
25 706 104
100 352 328
147 275 175
477 132 722
6 214 737
779 3 519
122 130 119
314 670 666
219 515 779
129 751 417
258 196 953
192 173 99
89 324 313
692 460 429
65 83 920
392 292 39
419 406 621
615 429 417
198 570 503
89 389 50
213 499 847
437 339 13
273 148 470
409 782 546
439 661 893
662 387 784
632 714 358
160 467 548
630 722 955
669 586 658
214 632 422
208 52 389
9 92 783
490 181 365
562 503 142
227 36 170
1 524 568
390 578 664
401 528 790
669 799 137
73 518 831
732 486 816
121 189 85
728 634 980
550 133 506
54 404 179
647 132 441
383 794 950
502 51 20
6 659 491
747 792 831
760 118 643
2 763 410
253 320 779
402 141 980
214 212 699
254 581 866
212 9 679
167 434 884
179 783 586
392 617 852
319 371 269
34 410 151
520 305 637
615 398 454
723 621 713
657 2 351
639 176 817
691 309 9
771 71 189
761 279 200
363 248 508
33 260 662
504 293 25
113 240 179
633 33 821
50 243 100
236 665 55
495 754 695
518 590 60
14 400 247
322 153 326
42 646 807
213 558 840
481 353 140
54 227 436
376 121 126
426 629 182
21 178 223
520 493 166
93 641 891
692 682 255
678 457 485
715 548 964
709 554 940
713 226 187
95 332 776
793 39 621
123 234 549
321 437 785
525 564 284
51 238 18
431 176 298
524 492 574
215 194 536
628 329 773
651 213 971
665 575 602
593 166 218
563 387 739
748 682 537
33 616 577
200 302 341
533 489 370
195 25 974
72 736 362
207 212 520
189 293 212
490 671 403
489 520 72
499 1 451
78 260 367
407 605 594
650 191 540
92 298 910
722 258 970
641 121 212
785 446 400
371 118 221
519 39 748
331 562 553
26 665 279
246 406 187
75 733 16
207 392 419
421 189 655
132 519 6
34 672 166
506 620 171
693 19 963
135 340 224
705 633 547
270 178 129
624 302 20
681 24 773
586 283 537
67 729 444
639 31 768
477 730 148
117 370 744
709 112 300
558 385 219
717 414 951
392 280 274
747 100 304
389 528 133
748 462 344
97 77 466
636 391 651
381 326 842
694 56 443
464 468 853
54 81 310
39 192 692
749 476 409
610 353 476
67 526 798
538 737 629
236 77 794
612 476 897
307 728 608
507 650 197
11 433 162
14 356 889
71 207 545
457 158 427
676 663 42
484 50 887
584 417 80
311 571 390
338 37 899
534 236 348
511 496 549
236 356 728
741 262 950
283 189 113
544 67 378
111 302 788
133 435 494
336 47 831
714 347 667
667 603 624
289 310 72
488 172 453
417 359 230
208 623 927
372 342 550
457 744 789
567 726 128
201 577 89
602 769 527
262 608 650
160 372 241
732 754 540
651 276 625
131 592 953
626 784 65
406 48 707
155 197 720
477 3 281
724 60 239
673 437 549
652 595 464
605 53 459
660 560 58
334 127 511
391 433 448
661 726 819
527 611 602
262 497 615
332 355 948
503 601 782
463 346 526
488 26 983
587 143 977
537 568 811
14 56 38
158 781 933
367 349 914
82 495 666
732 135 133
223 73 847
660 408 540
654 785 49
42 613 35
