827 856
431 22 927
784 178 748
115 171 195
480 128 383
439 818 938
137 116 -636
351 24 -597
489 739 -837
146 241 162
157 460 -904
751 73 -326
675 481 -572
264 413 -763
127 758 990
173 460 -850
349 808 117
806 668 689
174 470 -8
442 381 -498
572 427 726
370 145 553
45 510 798
72 639 -478
299 293 -806
192 412 87
260 659 -172
525 606 -626
818 331 401
394 219 -656
397 721 222
385 723 273
200 347 -556
314 628 179
480 404 -169
81 172 807
33 619 229
670 3 801
390 247 795
486 468 -192
719 272 555
649 326 -582
227 487 460
809 196 -329
126 221 822
152 411 28
717 701 604
571 694 875
395 634 984
454 175 357
347 119 -43
97 607 997
343 401 -897
368 824 -572
515 457 -589
494 216 -502
620 54 236
54 566 7
58 348 -842
38 750 -270
732 101 -24
260 682 -938
264 460 -452
611 421 237
454 492 662
22 302 75
648 162 821
29 774 -326
481 17 -186
691 559 3
121 635 562
285 797 208
723 422 926
492 383 -645
694 332 859
308 472 -424
327 117 342
99 697 -798
522 404 -504
73 199 -540
169 476 -408
198 512 -356
498 82 343
820 806 576
24 142 706
365 467 -635
505 204 14
394 47 161
442 260 724
722 752 270
69 814 777
610 317 909
24 184 193
94 311 755
548 773 638
308 71 958
688 98 -352
696 256 981
372 787 -649
605 452 466
753 159 -564
633 191 -762
220 593 375
395 60 221
386 644 697
106 588 -898
574 579 -972
28 26 273
729 191 503
522 453 -518
119 539 -473
259 19 -67
729 258 -109
807 650 -905
450 814 -185
466 746 775
694 107 -981
744 238 314
101 166 -676
823 600 494
773 18 298
685 263 604
100 268 -806
712 118 519
333 625 -115
524 379 537
557 250 618
163 679 -148
622 353 -605
419 415 -806
182 175 675
657 99 147
551 612 -368
44 769 -285
364 704 287
35 201 -928
541 726 -73
284 79 -281
519 685 462
251 718 -119
540 13 486
48 223 95
124 59 -312
776 807 666
516 826 631
372 495 -165
367 496 656
390 294 -736
349 647 -761
476 721 -366
501 163 -449
296 375 391
732 597 -654
86 352 241
464 274 294
98 184 990
353 254 -394
700 237 144
361 326 -136
399 438 488
255 594 55
643 198 -791
761 805 -440
505 522 -936
42 709 613
76 473 -766
711 43 200
572 264 471
235 809 693
108 721 216
114 490 -272
278 758 853
605 823 447
137 256 -743
274 486 961
644 589 106
27 248 -622
85 377 -845
456 443 975
367 296 -848
170 96 255
118 522 -455
819 603 -65
629 571 -938
772 247 -782
476 574 150
441 455 -190
142 30 353
17 171 -313
801 591 60
42 291 -702
717 733 -148
809 823 -153
462 120 -880
553 347 423
133 723 788
743 344 -703
799 111 954
632 797 424
333 739 -62
139 546 -963
92 296 605
428 751 446
508 715 -868
261 284 341
55 316 -999
584 720 -408
83 33 -431
132 385 -734
85 315 884
290 359 -667
68 255 429
152 571 -650
253 42 -539
704 489 488
398 23 -414
67 250 583
598 151 -552
68 605 -493
689 196 -898
468 574 -164
437 447 -181
285 416 -785
754 813 957
190 479 -438
76 363 -126
508 58 -817
110 629 678
104 340 -977
147 259 706
212 168 486
247 18 154
358 729 -48
133 168 -105
155 58 -494
150 597 112
61 491 -624
621 467 330
640 231 353
319 763 -469
798 309 -741
35 34 -801
740 695 631
695 474 -738
93 390 382
447 32 230
89 304 -699
97 133 -30
773 33 179
11 759 48
415 370 -161
226 236 -844
512 94 -458
252 366 702
136 707 -796
660 691 -357
479 411 553
673 551 217
474 597 827
771 234 3
262 321 -219
567 365 521
719 329 98
718 157 176
8 753 842
434 203 722
24 10 -791
568 354 -517
438 453 460
199 262 -662
349 476 -75
753 395 586
504 286 -879
284 562 -162
735 652 71
597 500 123
552 760 514
498 510 867
535 585 -484
73 355 -238
267 7 -215
78 251 63
468 641 -440
350 654 609
54 700 -598
49 285 616
34 315 454
193 777 -426
171 383 25
600 426 -672
821 297 -185
535 592 168
408 811 901
360 461 58
305 226 473
762 101 -261
826 584 -742
104 663 -808
459 578 182
403 517 235
608 210 786
119 794 -613
608 158 39
542 242 -865
695 408 81
721 606 887
245 669 -202
443 187 695
431 581 788
729 194 226
98 41 -545
622 392 741
504 82 -565
722 250 274
557 718 331
733 147 470
382 489 -376
341 16 420
291 605 828
550 388 179
431 217 446
823 222 -936
264 242 654
531 544 331
84 17 467
480 544 754
176 772 -653
491 374 696
554 555 -527
470 146 -365
182 392 68
743 109 -655
655 179 699
221 120 297
612 66 -48
209 543 309
597 431 -641
219 106 -156
200 434 -21
184 476 -993
203 596 189
821 665 -82
372 807 -227
110 96 797
483 377 387
98 606 404
429 261 683
808 718 783
499 555 935
18 7 893
346 155 -710
532 709 -661
711 696 570
597 208 611
601 46 -977
99 67 -861
41 54 417
507 355 90
119 535 -515
310 390 -512
518 14 -943
181 330 872
693 229 -544
102 551 -249
363 485 777
580 469 383
615 796 837
150 513 182
59 768 903
691 291 -683
760 467 415
186 765 975
499 316 -285
135 557 -743
133 350 389
615 610 -457
544 164 -836
451 69 637
408 547 -258
562 447 252
501 48 715
377 465 -966
613 624 612
571 102 -464
258 393 -909
223 731 641
383 346 -81
69 1 -412
118 779 -65
23 501 897
447 717 571
264 614 -623
716 125 439
200 741 305
411 175 -682
570 792 571
42 603 -652
211 374 -391
87 102 542
215 655 230
142 741 -909
309 784 -806
211 104 -309
239 70 -104
371 212 -487
194 137 770
745 524 731
147 141 -36
611 519 603
632 464 758
204 457 882
223 475 -816
73 814 -386
69 14 -462
597 659 -969
724 33 -536
544 214 -378
520 617 942
228 430 980
758 541 964
132 250 -636
800 159 182
346 100 740
804 89 998
312 176 -681
138 423 502
344 21 9
306 495 -508
538 813 -877
772 561 468
385 418 -330
275 725 927
289 30 270
111 259 107
242 767 -536
544 224 -628
667 588 38
58 330 -533
787 77 78
326 528 -299
242 439 418
411 53 186
720 362 471
225 293 -176
715 31 -228
364 273 -803
562 724 -63
678 699 -522
176 436 413
681 503 -65
637 128 -758
645 113 158
111 5 -65
742 604 928
710 194 -92
360 118 274
9 679 912
613 820 -604
611 392 741
797 297 -943
621 766 -643
483 296 -318
725 545 624
206 348 -335
122 276 -597
501 595 300
148 303 -804
671 274 -702
645 786 -74
798 235 152
64 68 -284
339 645 517
117 245 172
559 470 -277
187 30 -687
606 596 -887
204 522 196
66 657 -24
609 52 -52
721 671 -978
286 220 -61
194 39 891
577 723 344
571 787 -733
192 215 -867
344 375 -189
470 56 686
54 161 -644
432 587 283
446 647 -646
749 206 454
714 116 -711
381 284 165
641 570 -992
688 221 730
29 209 390
253 238 -156
136 110 -410
819 617 405
384 238 631
371 711 -629
239 783 -596
542 423 105
20 398 -437
746 101 523
266 826 -196
132 350 -196
294 205 762
645 737 111
17 456 220
565 446 272
679 31 158
361 226 -858
608 345 -588
275 290 569
583 155 23
79 488 -52
103 529 719
392 816 809
103 725 869
626 826 122
391 384 524
671 420 78
529 224 655
604 14 -126
779 691 -746
277 212 -956
728 561 733
632 315 -770
401 568 496
740 728 -757
331 144 201
476 87 134
192 688 -419
476 748 -569
177 53 -510
790 524 163
167 769 601
110 235 888
290 684 -833
291 396 810
290 803 -73
718 303 12
203 389 -491
736 575 0
416 220 203
806 713 -862
408 174 371
140 51 891
763 779 -780
243 710 462
236 559 653
434 770 -778
519 206 -394
347 437 146
420 708 225
736 738 -454
561 465 -911
111 821 140
747 224 -866
550 206 51
104 696 -827
727 521 548
210 369 944
21 525 -97
801 741 169
60 819 -578
550 778 1
291 135 -407
119 25 0
801 769 591
525 755 607
17 667 -701
168 6 587
602 532 789
379 679 705
632 811 873
521 428 762
379 374 651
673 273 -560
719 700 184
357 706 404
765 18 864
629 10 -33
189 352 -316
571 206 -418
79 315 -526
319 225 871
480 359 -606
526 747 281
389 136 641
508 516 -310
342 458 -69
473 72 -264
765 823 -280
328 54 -341
161 729 141
86 703 446
165 696 -618
502 24 -180
408 72 261
539 86 270
762 389 -228
806 598 527
54 63 471
715 185 453
68 13 -346
315 512 992
111 284 782
813 292 2
580 332 -443
367 122 -151
118 345 830
764 587 -128
785 719 -338
763 495 807
464 130 -192
229 336 -255
89 336 908
672 806 769
7 276 388
141 9 516
368 172 731
740 213 877
344 473 99
173 425 700
444 693 783
581 384 106
292 127 122
786 395 -711
582 571 194
76 311 -621
595 319 -573
651 84 -454
283 302 -709
559 90 -522
3 558 83
482 696 475
791 415 -755
823 738 -3
431 673 -599
391 622 -54
68 689 578
637 14 -771
807 63 604
740 406 131
222 492 -796
460 246 -324
459 820 512
74 477 -351
528 707 -479
435 457 453
341 370 -12
347 730 -763
372 769 -127
637 102 -62
7 765 -599
235 528 -761
809 322 -938
686 400 876
199 292 774
460 521 -511
743 260 667
276 791 -93
547 806 173
530 813 836
667 397 -829
168 303 -278
818 356 -726
478 715 736
778 350 -472
562 478 683
508 571 -748
32 389 -36
779 581 709
41 1 506
812 577 216
332 653 395
255 142 -877
699 789 955
379 797 -803
601 503 -501
759 482 -803
489 472 -841
438 226 -333
40 774 600
401 574 902
321 569 982
622 452 955
677 341 -411
406 486 -441
496 714 -247
785 531 -445
